CO_MUNICIPIO,NO_MUNICIPIO,SG_UF,REGIAO,CLUSTER,PC_ALUNO_ALFABETIZADO,DISTANCIA_META_2030,PC_FAMILIAS_POBREZA,RENDA_PER_CAPITA_MEDIA,MEDIA_INSE,PC_ESCOLAS_BIBLIOTECA,PC_ESCOLAS_LAB_INFORMATICA,PC_ESCOLAS_INTERNET_ALUNOS
4105805,Colombo,PR,Sul,1,69.9,-10.1,24.348544041242096,1526.6,5.370923076923077,0.5036496350364964,0.5912408759124088,0.36496350364963503
4106001,Congonhinhas,PR,Sul,1,89.04,9.04,27.417027417027416,1207.32,5.1325,0.5833333333333334,0.16666666666666666,0.3333333333333333
4106100,Conselheiro Mairinck,PR,Sul,1,74.87,-5.13,21.576354679802957,1357.56,5.223333333333334,0.4,0.8,0.6
4106209,Contenda,PR,Sul,1,75.33,-4.67,25.020064205457466,1234.23,5.270833333333333,0.3,0.2,0.3
4106308,Corbélia,PR,Sul,1,90.89,10.89,7.338041142155357,1707.15,5.331,0.4117647058823529,0.4117647058823529,0.35294117647058826
4106407,Cornélio Procópio,PR,Sul,1,83.83,3.83,19.82758620689655,1919.99,5.404736842105263,0.574468085106383,0.3829787234042553,0.48936170212765956
4106456,Coronel Domingos Soares,PR,Sul,1,80.56,0.56,25.835095137420716,1162.7,4.812,0.6875,0.5,0.875
4106506,Coronel Vivida,PR,Sul,1,82.31,2.31,19.3518941122775,1923.36,5.36125,0.48,0.32,0.76
4106555,Corumbataí Do Sul,PR,Sul,1,97.88,17.88,17.16599190283401,1219.96,4.98,0.6666666666666666,0.6666666666666666,0.6666666666666666
4106571,Cruzeiro Do Iguaçu,PR,Sul,1,83.65,3.65,21.39917695473251,1665.75,5.3566666666666665,0.7142857142857143,0.2857142857142857,0.8571428571428571
4106605,Cruzeiro Do Oeste,PR,Sul,1,84.06,4.06,14.848365498227647,1571.31,5.17,0.7222222222222222,0.7222222222222222,0.6111111111111112
4106704,Cruzeiro Do Sul,PR,Sul,1,75.49,-4.51,15.483870967741936,1407.88,5.135,0.5,0.5,0.5
4106803,Cruz Machado,PR,Sul,1,95.51,15.51,25.05800464037123,1245.38,5.027142857142857,0.4375,0.375,0.5625
4106852,Cruzmaltina,PR,Sul,1,100.0,20.0,21.856639247943598,1308.84,5.0600000000000005,0.6666666666666666,0.6666666666666666,0.5
4106902,Curitiba,PR,Sul,1,74.03,-5.97,21.35650871665784,3137.92,5.536061538461539,0.55863921217547,0.4404655326768129,0.658012533572068
4107009,Curiúva,PR,Sul,1,84.43,4.43,29.506414437921286,1174.71,5.0825,0.4,0.4,0.3333333333333333
4107108,Diamante Do Norte,PR,Sul,1,87.02,7.02,20.933734939759034,1508.14,5.29,0.5,0.3333333333333333,0.3333333333333333
4107124,Diamante Do Sul,PR,Sul,1,100.0,20.0,24.129032258064516,1190.65,4.83,0.7142857142857143,0.5714285714285714,0.5714285714285714
4107157,Diamante D'Oeste,PR,Sul,1,83.82,3.82,21.38888888888889,1469.26,5.18,0.6,0.6,0.6
4107207,Dois Vizinhos,PR,Sul,1,95.9,15.9,10.888810198300284,2032.62,5.437391304347826,0.7906976744186046,0.4418604651162791,0.4883720930232558
4107256,Douradina,PR,Sul,1,74.02,-5.98,15.867158671586715,1609.13,5.53,0.8571428571428571,0.42857142857142855,0.42857142857142855
4107306,Doutor Camargo,PR,Sul,1,78.09,-1.91,15.502328675981369,1607.28,5.5,0.42857142857142855,0.42857142857142855,0.42857142857142855
4107405,Enéas Marques,PR,Sul,1,88.76,8.76,26.516853932584272,2211.98,5.3825,0.8571428571428571,0.5714285714285714,0.7142857142857143
4107504,Engenheiro Beltrão,PR,Sul,1,92.25,12.25,21.632915461266474,1697.37,5.161428571428572,0.3157894736842105,0.47368421052631576,0.5789473684210527
4107520,Esperança Nova,PR,Sul,1,77.78,-2.22,15.79861111111111,1417.1,5.225,0.3333333333333333,0.3333333333333333,0.3333333333333333
4107538,Entre Rios Do Oeste,PR,Sul,1,88.55,8.55,14.185639229422067,2240.05,5.455,0.75,0.5,0.5
4107546,Espigão Alto Do Iguaçu,PR,Sul,1,76.95,-3.05,30.759330759330762,1363.45,5.122,0.4444444444444444,0.4444444444444444,0.5555555555555556
4107553,Farol,PR,Sul,1,97.34,17.34,24.846248462484624,1519.69,5.215,0.3333333333333333,0.3333333333333333,0.3333333333333333
4107603,Faxinal,PR,Sul,1,83.04,3.04,24.193254329990886,1452.98,5.029,0.4090909090909091,0.36363636363636365,0.5909090909090909
4107652,Fazenda Rio Grande,PR,Sul,1,68.14,-11.86,26.15258774538965,1448.37,5.328055555555555,0.45588235294117646,0.3382352941176471,0.38235294117647056
4107702,Fênix,PR,Sul,0,94.44,14.44,23.685837971552257,1434.14,4.895,0.25,0.125,0.125
4107736,Fernandes Pinheiro,PR,Sul,1,93.25,13.25,30.998248686514884,1162.7,5.111666666666667,0.7777777777777778,0.3333333333333333,0.3333333333333333
4107751,Figueira,PR,Sul,1,90.51,10.51,35.59964983950977,1371.25,5.2700000000000005,0.625,0.5,0.5
4107801,Floraí,PR,Sul,1,82.84,2.84,22.431077694235587,1468.8,5.48,0.7142857142857143,0.42857142857142855,0.42857142857142855
4107850,Flor Da Serra Do Sul,PR,Sul,1,84.02,4.02,18.350668647845467,1957.58,5.1225,0.8333333333333334,0.6666666666666666,0.5
4107900,Floresta,PR,Sul,1,72.93,-7.07,24.599860821155183,1457.38,5.04,0.375,0.5,0.625
4108007,Florestópolis,PR,Sul,0,85.56,5.56,30.193192272309105,1226.32,4.996666666666667,0.5454545454545454,0.18181818181818182,0.45454545454545453
4108205,Formosa Do Oeste,PR,Sul,1,74.1,-5.9,11.651728553137005,1600.27,5.510000000000001,0.42857142857142855,0.42857142857142855,0.5714285714285714
4108304,Foz Do Iguaçu,PR,Sul,1,77.91,-2.09,25.453922141242796,1910.76,5.394050632911393,0.5416666666666666,0.6130952380952381,0.5535714285714286
4108320,Francisco Alves,PR,Sul,1,80.06,0.06,23.338649654439127,1363.92,5.326666666666667,0.3,0.5,0.5
4108403,Francisco Beltrão,PR,Sul,1,84.44,4.44,12.191822008418521,2277.74,5.4772727272727275,0.6111111111111112,0.4305555555555556,0.4444444444444444
4108452,Foz Do Jordão,PR,Sul,1,88.04,8.04,28.831417624521073,1270.58,5.16,0.5,0.5,0.25
4108502,General Carneiro,PR,Sul,0,79.22,-0.78,24.894869638351555,1246.29,5.08,0.047619047619047616,0.23809523809523808,0.23809523809523808
4108551,Godoy Moreira,PR,Sul,1,88.74,8.74,19.785138764547895,1320.61,5.055,0.75,0.25,0.0
4108601,Goioerê,PR,Sul,1,79.8,-0.2,27.816901408450708,1577.15,5.276,0.696969696969697,0.48484848484848486,0.5757575757575758
4108650,Goioxim,PR,Sul,1,89.95,9.95,25.950196592398427,1183.13,4.816666666666666,0.45454545454545453,0.45454545454545453,0.6363636363636364
4108700,Grandes Rios,PR,Sul,1,89.01,9.01,25.368248772504092,1258.21,4.913333333333333,0.2222222222222222,0.4444444444444444,0.6666666666666666
4108809,Guaíra,PR,Sul,1,78.69,-1.31,11.798049037701027,1631.65,5.102777777777778,0.5833333333333334,0.6111111111111112,0.5833333333333334
4108908,Guairaçá,PR,Sul,1,84.72,4.72,24.526258798050893,1274.78,5.130000000000001,0.5,0.25,0.75
4108957,Guamiranga,PR,Sul,1,86.02,6.02,24.89651094027203,1305.12,5.0075,0.375,0.25,0.375
4109005,Guapirama,PR,Sul,1,96.85,16.85,15.479452054794521,1337.57,5.029999999999999,0.25,0.25,0.75
4109104,Guaporema,PR,Sul,1,90.63,10.63,20.376712328767123,1850.26,5.195,1.0,0.6666666666666666,0.6666666666666666
4109203,Guaraci,PR,Sul,1,88.79,8.79,25.500322788896064,1709.29,5.373333333333334,0.42857142857142855,0.14285714285714285,0.2857142857142857
4109302,Guaraniaçu,PR,Sul,1,81.48,1.48,9.84,1490.34,4.956666666666667,0.6842105263157895,0.5789473684210527,0.2631578947368421
4109401,Guarapuava,PR,Sul,1,75.11,-4.89,25.022403881882365,1703.75,5.227142857142858,0.6397058823529411,0.6764705882352942,0.8308823529411765
4109500,Guaraqueçaba,PR,Sul,2,58.84,-21.16,34.18690601900739,974.13,4.782,0.23333333333333334,0.23333333333333334,0.23333333333333334
4109609,Guaratuba,PR,Sul,1,69.95,-10.05,24.897367785559045,1685.43,5.245294117647059,0.28205128205128205,0.20512820512820512,0.28205128205128205
4109658,Honório Serpa,PR,Sul,1,72.05,-7.95,18.981200727713766,1708.91,5.11,0.42857142857142855,0.7142857142857143,0.7142857142857143
