REGIAO,n,taxa_real_alfabetizacao,accuracy,precision,recall
Norte,74059,0.5277350131909945,0.5770868794224183,0.5916707466996548,0.6409961497632704
Sudeste,262349,0.5769812306772069,0.6104171505182016,0.6274259094864455,0.7996111851905515
Sul,104067,0.589298441868183,0.6522305201572879,0.6651783073601547,0.8252565742634163
Nordeste,166051,0.605950909226757,0.6511248045968933,0.6694958926759967,0.8378810179168531
Centro-Oeste,60312,0.6697225955737097,0.6725102792559133,0.6744856912723685,0.9876650834124487
