categoria,n,shap_medio
Norte,2248,-0.036890057340138664
Sul,3104,-0.005388576301060908
Centro-Oeste,1829,0.001817217106319329
Nordeste,4912,0.0031089851744708135
Sudeste,7907,0.006760358976376267
