CLUSTER,Centro-Oeste,Nordeste,Norte,Sudeste,Sul
0,3.1,70.19999999999999,7.3999999999999995,18.3,0.8999999999999999
1,14.899999999999999,0.8999999999999999,3.0,42.5,38.800000000000004
2,1.6,56.699999999999996,18.9,16.3,6.5
