,importancia_media_abs_shap
SG_UF,0.07087
PC_FAMILIAS_POBREZA,0.024074
REGIAO,0.016699
RENDA_PER_CAPITA_MEDIA,0.00846
MEDIA_INSE,0.006823
TP_DEPENDENCIA,0.003211
