CO_MUNICIPIO,SG_UF,REGIAO,PC_ALUNO_ALFABETIZADO_2025,PROBABILIDADE_RISCO_NAO_ATINGIR_META,ALERTA_F1_OTIMO,ALERTA_RECALL_80
4322202,RS,Sul,70.38,0.8565715004616432,True,True
4321907,RS,Sul,74.99,0.8555815456592014,True,True
4305439,RS,Sul,52.67,0.8550199202208468,True,True
4308003,RS,Sul,63.08,0.8549470259587709,True,True
4322533,RS,Sul,71.43,0.8536009050391651,True,True
4311627,RS,Sul,55.75,0.8533086562749251,True,True
4317509,RS,Sul,52.21,0.8529918822524267,True,True
4302352,RS,Sul,75.7,0.8528672342245976,True,True
4318903,RS,Sul,63.18,0.8527165492143572,True,True
4320651,RS,Sul,44.44,0.8514545070271976,True,True
4312617,RS,Sul,57.89,0.850985118412545,True,True
4321303,RS,Sul,39.33,0.8507122819305216,True,True
4314902,RS,Sul,26.74,0.8496618373932534,True,True
4315602,RS,Sul,35.73,0.8493661227748489,True,True
4317202,RS,Sul,74.2,0.8484381477466723,True,True
4320909,RS,Sul,65.8,0.8476209986955922,True,True
4313425,RS,Sul,46.15,0.8474833704527107,True,True
4306767,RS,Sul,28.87,0.8471468684335669,True,True
4319737,RS,Sul,40.0,0.8471124371743011,True,True
4304358,RS,Sul,39.95,0.8468312903788461,True,True
4306205,RS,Sul,59.02,0.8464070758329489,True,True
4315206,RS,Sul,71.67,0.8454840165724836,True,True
4307906,RS,Sul,75.71,0.84483886467272,True,True
4300638,RS,Sul,24.62,0.8435479923696197,True,True
4320800,RS,Sul,65.85,0.8430295494991457,True,True
4311254,RS,Sul,51.61,0.8419462427331628,True,True
4305900,RS,Sul,49.77,0.8418672703245378,True,True
4312807,RS,Sul,70.79,0.8408677149796802,True,True
4317905,RS,Sul,73.77,0.8402974264704816,True,True
4308409,RS,Sul,42.11,0.8400089875308717,True,True
4305132,RS,Sul,72.22,0.8392257083287515,True,True
4308508,RS,Sul,41.36,0.8388516095217076,True,True
4304630,RS,Sul,40.68,0.8387404036632782,True,True
4319158,RS,Sul,72.39,0.8381990338385321,True,True
4301008,RS,Sul,74.84,0.837796362487407,True,True
4312658,RS,Sul,63.85,0.8370133331868077,True,True
