CO_MUNICIPIO,NO_MUNICIPIO,SG_UF,MES_REFERENCIA,QT_FAMILIAS_POBREZA_FAIXA_PBF,QT_FAMILIAS_ATE_MEIO_SM,QT_FAMILIAS_ACIMA_MEIO_SM
313960,MANTENA,MG,08/2026,2509,3731,3160
313970,MARAVILHAS,MG,08/2026,915,1268,820
313980,MAR DE ESPANHA,MG,08/2026,544,1169,871
313990,MARIA DA FÉ,MG,08/2026,1227,1888,1192
314000,MARIANA,MG,08/2026,5906,8337,5743
314010,MARILAC,MG,08/2026,699,958,511
314015,MÁRIO CAMPOS,MG,08/2026,975,1758,1224
314020,MARIPÁ DE MINAS,MG,08/2026,132,357,406
314030,MARLIÉRIA,MG,08/2026,328,549,542
314040,MARMELÓPOLIS,MG,08/2026,393,512,189
314050,MARTINHO CAMPOS,MG,08/2026,1229,1736,1169
314053,MARTINS SOARES,MG,08/2026,1222,1663,785
314055,MATA VERDE,MG,08/2026,1650,1999,799
314060,MATERLÂNDIA,MG,08/2026,708,954,658
314070,MATEUS LEME,MG,08/2026,2113,3456,2112
314080,MATIAS BARBOSA,MG,08/2026,1011,1648,1301
314085,MATIAS CARDOSO,MG,08/2026,1423,2032,1055
314090,MATIPÓ,MG,08/2026,2420,3786,1554
314100,MATO VERDE,MG,08/2026,1722,2388,1437
314110,MATOZINHOS,MG,08/2026,2113,3572,2365
314120,MATUTINA,MG,08/2026,202,313,486
314130,MEDEIROS,MG,08/2026,318,461,392
314140,MEDINA,MG,08/2026,2240,3388,2366
314150,MENDES PIMENTEL,MG,08/2026,587,891,693
314160,MERCÊS,MG,08/2026,944,1594,1128
314170,MESQUITA,MG,08/2026,428,654,587
314180,MINAS NOVAS,MG,08/2026,2536,3909,2692
314190,MINDURI,MG,08/2026,257,444,316
314200,MIRABELA,MG,08/2026,1817,2586,1502
314210,MIRADOURO,MG,08/2026,624,1181,949
314220,MIRAÍ,MG,08/2026,857,1469,1155
314225,MIRAVÂNIA,MG,08/2026,608,854,580
314230,MOEDA,MG,08/2026,327,606,525
314240,MOEMA,MG,08/2026,553,897,599
314250,MONJOLOS,MG,08/2026,222,339,321
314260,MONSENHOR PAULO,MG,08/2026,293,812,497
314270,MONTALVÂNIA,MG,08/2026,1798,2667,1252
314280,MONTE ALEGRE DE MINAS,MG,08/2026,1561,2362,2009
314290,MONTE AZUL,MG,08/2026,3033,3990,1882
314300,MONTE BELO,MG,08/2026,708,1279,898
314310,MONTE CARMELO,MG,08/2026,1226,2653,2357
314315,MONTE FORMOSO,MG,08/2026,563,820,455
314320,MONTE SANTO DE MINAS,MG,08/2026,1057,2072,1769
314330,MONTES CLAROS,MG,08/2026,23874,46985,34752
314340,MONTE SIÃO,MG,08/2026,1349,2061,1471
314345,MONTEZUMA,MG,08/2026,1086,1427,762
314350,MORADA NOVA DE MINAS,MG,08/2026,277,682,986
314360,MORRO DA GARÇA,MG,08/2026,205,409,400
314370,MORRO DO PILAR,MG,08/2026,419,565,348
314380,MUNHOZ,MG,08/2026,675,990,616
314390,MURIAÉ,MG,08/2026,6142,10715,9079
314400,MUTUM,MG,08/2026,1431,3134,2138
314410,MUZAMBINHO,MG,08/2026,836,1962,1811
314420,NACIP RAYDAN,MG,08/2026,262,437,408
314430,NANUQUE,MG,08/2026,2671,4680,4063
314435,NAQUE,MG,08/2026,995,1407,1147
314437,NATALÂNDIA,MG,08/2026,492,697,454
314440,NATÉRCIA,MG,08/2026,243,433,317
314450,NAZARENO,MG,08/2026,635,1012,767
314460,NEPOMUCENO,MG,08/2026,1807,2993,1926
314465,NINHEIRA,MG,08/2026,1626,2154,1210
314467,NOVA BELÉM,MG,08/2026,451,744,472
314470,NOVA ERA,MG,08/2026,991,1623,1531
314480,NOVA LIMA,MG,08/2026,3652,6599,5565
314490,NOVA MÓDICA,MG,08/2026,468,686,458
314500,NOVA PONTE,MG,08/2026,960,1559,1482
314505,NOVA PORTEIRINHA,MG,08/2026,1200,1678,935
314510,NOVA RESENDE,MG,08/2026,915,1865,957
314520,NOVA SERRANA,MG,08/2026,3121,8476,5308
314530,NOVO CRUZEIRO,MG,08/2026,3114,4565,2011
314535,NOVO ORIENTE DE MINAS,MG,08/2026,1705,2202,1058
314537,NOVORIZONTE,MG,08/2026,650,961,597
314540,OLARIA,MG,08/2026,189,304,242
314545,OLHOS-DÁGUA,MG,08/2026,1027,1322,651
314550,OLÍMPIO NORONHA,MG,08/2026,252,436,398
314560,OLIVEIRA,MG,08/2026,2271,3758,2948
314570,OLIVEIRA FORTES,MG,08/2026,166,268,143
314580,ONÇA DE PITANGUI,MG,08/2026,185,350,302
314585,ORATÓRIOS,MG,08/2026,306,512,482
314587,ORIZÂNIA,MG,08/2026,1335,1873,963
314590,OURO BRANCO,MG,08/2026,1642,2935,2241
314600,OURO FINO,MG,08/2026,858,1759,1961
314610,OURO PRETO,MG,08/2026,3898,7082,5209
314620,OURO VERDE DE MINAS,MG,08/2026,1560,1887,798
314625,PADRE CARVALHO,MG,08/2026,963,1224,705
314630,PADRE PARAÍSO,MG,08/2026,2190,3131,1868
314640,PAINEIRAS,MG,08/2026,502,658,413
314650,PAINS,MG,08/2026,283,463,514
314655,PAI PEDRO,MG,08/2026,613,1000,724
314660,PAIVA,MG,08/2026,165,231,171
314670,PALMA,MG,08/2026,731,1022,695
314675,PALMÓPOLIS,MG,08/2026,1025,1377,569
314690,PAPAGAIOS,MG,08/2026,1105,1907,1220
314700,PARACATU,MG,08/2026,5156,8754,7195
314710,PARÁ DE MINAS,MG,08/2026,3417,5977,5351
314720,PARAGUAÇU,MG,08/2026,532,1431,1438
314730,PARAISÓPOLIS,MG,08/2026,918,1645,2247
314740,PARAOPEBA,MG,08/2026,1600,2745,1611
314750,PASSABÉM,MG,08/2026,184,263,144
314760,PASSA QUATRO,MG,08/2026,534,1224,1331
314770,PASSA TEMPO,MG,08/2026,250,583,689
314780,PASSA VINTE,MG,08/2026,245,312,175
314790,PASSOS,MG,08/2026,4961,8537,4445
314795,PATIS,MG,08/2026,832,1141,571
314800,PATOS DE MINAS,MG,08/2026,4968,8830,7347
314810,PATROCÍNIO,MG,08/2026,4350,8108,7711
314820,PATROCÍNIO DO MURIAÉ,MG,08/2026,461,759,539
314830,PAULA CÂNDIDO,MG,08/2026,983,1495,857
314840,PAULISTAS,MG,08/2026,447,682,371
314850,PAVÃO,MG,08/2026,1561,1855,943
314860,PEÇANHA,MG,08/2026,2004,2682,1326
314870,PEDRA AZUL,MG,08/2026,3917,4965,3059
314875,PEDRA BONITA,MG,08/2026,1264,1633,437
314880,PEDRA DO ANTA,MG,08/2026,293,502,362
314890,PEDRA DO INDAIÁ,MG,08/2026,178,329,292
314900,PEDRA DOURADA,MG,08/2026,421,600,469
314910,PEDRALVA,MG,08/2026,540,1158,982
314915,PEDRAS DE MARIA DA CRUZ,MG,08/2026,1192,1736,901
314920,PEDRINÓPOLIS,MG,08/2026,368,495,422
314930,PEDRO LEOPOLDO,MG,08/2026,2230,4518,4120
314940,PEDRO TEIXEIRA,MG,08/2026,172,289,224
314950,PEQUERI,MG,08/2026,206,400,318
314960,PEQUI,MG,08/2026,452,634,538
314970,PERDIGÃO,MG,08/2026,834,1296,812
314980,PERDIZES,MG,08/2026,1264,1803,1005
314990,PERDÕES,MG,08/2026,814,1696,1750
314995,PERIQUITO,MG,08/2026,669,1237,968
315000,PESCADOR,MG,08/2026,440,674,442
315010,PIAU,MG,08/2026,256,388,206
315015,PIEDADE DE CARATINGA,MG,08/2026,1552,2129,731
315020,PIEDADE DE PONTE NOVA,MG,08/2026,289,488,515
315030,PIEDADE DO RIO GRANDE,MG,08/2026,306,511,421
315040,PIEDADE DOS GERAIS,MG,08/2026,687,886,374
315050,PIMENTA,MG,08/2026,345,721,636
315053,PINGO DÁGUA,MG,08/2026,636,903,613
315057,PINTÓPOLIS,MG,08/2026,1123,1559,889
315060,PIRACEMA,MG,08/2026,288,571,434
315070,PIRAJUBA,MG,08/2026,477,732,493
315080,PIRANGA,MG,08/2026,1589,2350,1926
315090,PIRANGUÇU,MG,08/2026,349,621,395
315100,PIRANGUINHO,MG,08/2026,538,917,843
315110,PIRAPETINGA,MG,08/2026,1051,1620,1405
315120,PIRAPORA,MG,08/2026,5473,8520,6071
315130,PIRAÚBA,MG,08/2026,903,1466,958
315140,PITANGUI,MG,08/2026,2032,2868,1492
315150,PIUMHI,MG,08/2026,1683,3065,3157
315160,PLANURA,MG,08/2026,1022,1398,1024
315170,POÇO FUNDO,MG,08/2026,408,1076,1030
315180,POÇOS DE CALDAS,MG,08/2026,4241,8817,11136
315190,POCRANE,MG,08/2026,1189,1540,739
315200,POMPÉU,MG,08/2026,1778,3787,2817
315210,PONTE NOVA,MG,08/2026,2379,4608,4257
315213,PONTO CHIQUE,MG,08/2026,649,848,367
315217,PONTO DOS VOLANTES,MG,08/2026,1208,1891,1259
315220,PORTEIRINHA,MG,08/2026,4293,7067,5138
315230,PORTO FIRME,MG,08/2026,1736,2209,1000
315240,POTÉ,MG,08/2026,1231,2030,1292
315250,POUSO ALEGRE,MG,08/2026,6022,10735,9562
315260,POUSO ALTO,MG,08/2026,311,525,397
315270,PRADOS,MG,08/2026,276,741,546
315280,PRATA,MG,08/2026,1403,2482,2576
315290,PRATÁPOLIS,MG,08/2026,472,740,665
315300,PRATINHA,MG,08/2026,335,467,269
315310,PRESIDENTE BERNARDES,MG,08/2026,488,783,540
315320,PRESIDENTE JUSCELINO,MG,08/2026,192,408,326
315330,PRESIDENTE KUBITSCHEK,MG,08/2026,304,479,376
315340,PRESIDENTE OLEGÁRIO,MG,08/2026,1149,1839,1478
315350,ALTO JEQUITIBÁ,MG,08/2026,481,1318,780
315360,PRUDENTE DE MORAIS,MG,08/2026,683,1230,953
315370,QUARTEL GERAL,MG,08/2026,135,374,385
315380,QUELUZITO,MG,08/2026,58,145,99
315390,RAPOSOS,MG,08/2026,608,975,728
315400,RAUL SOARES,MG,08/2026,1906,2936,1779
315410,RECREIO,MG,08/2026,620,1180,982
315415,REDUTO,MG,08/2026,659,1252,740
315420,RESENDE COSTA,MG,08/2026,413,969,817
315430,RESPLENDOR,MG,08/2026,1082,2060,1623
315440,RESSAQUINHA,MG,08/2026,433,669,463
315445,RIACHINHO,MG,08/2026,1140,1520,1092
315450,RIACHO DOS MACHADOS,MG,08/2026,1055,1526,1118
315460,RIBEIRÃO DAS NEVES,MG,08/2026,27716,41426,21853
315470,RIBEIRÃO VERMELHO,MG,08/2026,178,342,472
315480,RIO ACIMA,MG,08/2026,691,1078,976
315490,RIO CASCA,MG,08/2026,845,1666,1572
315500,RIO DOCE,MG,08/2026,189,332,428
315510,RIO DO PRADO,MG,08/2026,828,1077,514
315520,RIO ESPERA,MG,08/2026,782,950,421
315530,RIO MANSO,MG,08/2026,581,731,421
315540,RIO NOVO,MG,08/2026,515,1024,898
315550,RIO PARANAÍBA,MG,08/2026,694,1244,898
315560,RIO PARDO DE MINAS,MG,08/2026,4809,6168,2209
315570,RIO PIRACICABA,MG,08/2026,1033,1634,1565
315580,RIO POMBA,MG,08/2026,1393,2356,1546
315590,RIO PRETO,MG,08/2026,779,1014,499
315600,RIO VERMELHO,MG,08/2026,1034,1707,1265
315610,RITÁPOLIS,MG,08/2026,423,704,642
315620,ROCHEDO DE MINAS,MG,08/2026,217,383,238
315630,RODEIRO,MG,08/2026,586,984,676
